,Latinsk navn,Norsk navn,Antall,Input,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,Artsgruppe,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_id
0,Abietinella abietina,granmose,22,Abietinella abietina,187761,104789,Abietinella abietina,(Hedw.) M.Fleisch.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Abietinella,,,,Plantae Bryophyta Bryopsida Hypnales Thuidiaceae Abietinella,granmose,granmose,,5283402
1,Acarospora sinopica,rustsprekklav,1,Acarospora sinopica,41236,65263,Acarospora sinopica,(Wahlenb.) Körber,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Acarosporales Acarosporaceae Acarospora,rustsprekklav,,,2600524
2,Acaulon muticum,vortesvøpmose,1,Acaulon muticum,187315,104882,Acaulon muticum,(Hedw.) Müll.Hal.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Acaulon,,,,Plantae Bryophyta Bryopsida Dicranales Pottiaceae Acaulon,vortesvøpmose,vortesveipmose,,7941056
3,Acer platanoides,spisslønn,1,Acer platanoides,63519,103559,Acer platanoides,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Sapindales,Sapindaceae,Acer,,,,Plantae Magnoliophyta Eudicots Sapindales Sapindaceae Acer,spisslønn,spisslønn,,3189846
4,Achillea millefolium,ryllik,20,Achillea millefolium,145524,100392,Achillea millefolium,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Achillea,ryllik,ryllik,,3120060
5,Achillea ptarmica,nyseryllik,5,Achillea ptarmica,129993,100396,Achillea ptarmica,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Achillea,nyseryllik,nyseryllik,,3120333
6,Acinos arvensis,bakkemynte,9,Acinos arvensis,130008,102267,Acinos arvensis,(Lam.) Dandy,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Lamiales,Lamiaceae,Acinos,,,,Plantae Magnoliophyta Eudicots Lamiales Lamiaceae Acinos,bakkemynte,bakkemynte,,2927116
7,Aconitum septentrionale,tyrihjelm,7,Aconitum septentrionale,209140,143437,Aconitum septentrionale,Koelle,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Aconitum,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Aconitum,tyrihjelm,tyrihjelm,,6374443
8,Actaea spicata,trollbær,1,Actaea spicata,63041,103081,Actaea spicata,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Actaea,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Actaea,trollbær,trollbær,,5371473
9,Aegopodium podagraria,skvallerkål,3,Aegopodium podagraria,60212,100252,Aegopodium podagraria,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Aegopodium,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Aegopodium,skvallerkål,skvallerkål,,3034620
