,gbif_id
0,2529264
1,2586957
2,2587057
3,2587059
4,2587089
5,2592786
6,2600251
7,2600378
8,2600381
9,2600387
10,2600423
11,2600448
12,2600494
13,2600524
14,2600577
15,2600611
16,2601012
17,2601133
18,2601134
19,2601135
20,2601137
21,2601143
22,2601162
23,2601168
24,2601174
25,2601176
26,2601180
27,2601181
28,2601231
29,2601309
30,2601313
31,2601351
32,2602097
33,2603168
34,2603260
35,2603347
36,2603382
37,2603384
38,2603661
39,2603707
40,2603773
41,2603774
42,2603775
43,2604379
44,2604700
45,2605065
46,2605262
47,2605275
48,2605297
49,2605301
50,2605316
51,2605422
52,2605428
53,2605703
54,2605872
55,2605894
56,2605955
57,2605957
58,2606435
59,2606438
60,2606513
61,2606567
62,2606816
63,2606977
64,2606984
65,2607094
66,2607291
67,2607508
68,2607519
69,2607575
70,2607590
71,2607596
72,2607617
73,2607629
74,2607643
75,2607644
76,2607648
77,2607695
78,2607708
79,2607712
80,2607724
81,2607754
82,2607843
83,2608099
84,2608102
85,2608505
86,2608508
87,2608513
88,2608594
89,2608913
90,2608920
91,2608995
92,2609154
93,2609158
94,2609180
95,2609294
96,2609349
97,2609409
98,2609428
99,2609764
100,2609969
101,2609974
102,2650133
103,2650163
104,2650165
105,2650625
106,2650808
107,2650818
108,2650832
109,2650841
110,2650999
111,2651092
112,2651113
113,2651330
114,2651495
115,2651523
116,2668959
117,2668960
118,2668970
119,2668981
120,2668990
121,2668995
122,2668996
123,2669002
124,2669004
125,2669006
126,2669078
127,2669081
128,2669112
129,2669113
130,2669138
131,2669139
132,2669156
133,2669169
134,2669170
135,2669200
136,2669208
137,2669215
138,2669224
139,2669235
140,2669241
141,2669251
142,2670176
143,2671266
144,2671271
145,2671369
146,2672780
147,2673131
148,2673299
149,2673379
150,2673622
151,2674275
152,2674284
153,2674289
154,2674312
155,2674333
156,2674871
157,2674872
158,2675239
159,2675426
160,2675427
161,2675434
162,2675446
163,2675482
164,2675494
165,2675719
166,2675901
167,2675961
168,2675975
169,2675979
170,2676061
171,2676069
172,2676091
173,2676100
174,2676330
175,2676491
176,2677613
177,2677622
178,2677623
179,2677629
180,2677632
181,2677639
182,2677642
183,2677647
184,2678391
185,2678415
186,2678712
187,2679339
188,2679696
189,2679703
190,2679704
191,2679707
192,2679711
193,2679713
194,2679715
195,2679735
196,2679744
197,2679761
198,2679866
199,2679898
200,2679947
201,2679967
202,2680053
203,2680225
204,2681623
205,2681638
206,2681639
207,2681640
208,2681641
209,2681643
210,2681651
211,2681676
212,2681678
213,2681679
214,2681726
215,2681727
216,2681972
217,2682005
218,2682534
219,2682836
220,2682930
221,2682935
222,2683049
223,2683058
224,2683060
225,2683084
226,2683092
227,2684709
228,2687929
229,2687932
230,2687937
231,2687942
232,2687948
233,2688197
234,2688369
235,2688393
236,2688420
237,2688561
238,2688622
239,2688661
240,2688702
241,2688706
242,2688970
243,2689020
244,2689175
245,2689187
